Year,Month,Region,Resource,Rate
2022,1,Trivandrum,Hire charges of Coaltar Boiler 900 to 1400 litres,1230.0
2022,1,Trivandrum,Hire charges of Concrete Mixer 0.25 to 0.40 cum with Hopper,2150.0
2022,1,Trivandrum,Hire charges of Diesel Road Roller- 8 to 10 tonne,4750.0
2022,1,Trivandrum,Production cost of concrete by batch mix plant,521.0
2022,1,Trivandrum,Hire charges of Diesel Truck-9 tonne,3500.0
2022,1,Trivandrum,Hire charges of sparaying machine including electric charges,370.0
2022,1,Trivandrum,Hire charges of coaltar Sprayer,446.0
2022,1,Trivandrum,"Hire charges of Barber green, drying,mixing and Asphalt Plant, with accessories, capacity 30/45 tonne",11421.0
2022,1,Trivandrum,"Pumping charges of concrete including Hire charges of pump, piping work & accessories etc.",285.0
2022,1,Trivandrum,Hire charges of Derrick monkey rope,1187.0
2022,1,Trivandrum,Hire charges of Pump set of capacity 4000 litres/hour,950.0
2022,1,Trivandrum,Vibrator (Needle type 40 mm),800.0
2022,1,Trivandrum,Machine for rubbing of floors,500.0
2022,1,Trivandrum,Front end loader capacity 1.00 cum,7800.0
2022,1,Trivandrum,Hire and running charges of Tripod and Mechanical Winch machine complete with power unit and accessories,8800.0
2022,1,Trivandrum,Mastic Cooker,1112.0
2022,1,Trivandrum,Hire and running charges of tipper,3800.0
2022,1,Trivandrum,Hire and running charges of loader,7000.0
2022,1,Trivandrum,Hand Grinder for mirror polish,430.0
2022,1,Trivandrum,Hydraulic Excavator (3D) with driver and fuel,10100.0
2022,1,Trivandrum,pin vibrator,483.0
2022,1,Trivandrum,Surface Vibrator,591.0
2022,1,Trivandrum,Hot Bitumen Mixer 0.5cum i/c hand cart,5934.0
2022,1,Trivandrum,Hire and running charges of hydraulic piling with power unit etc. including complete accessories and shifting at site,47300.0
2022,1,Trivandrum,Hire and running charges of light crane,3850.0
2022,1,Trivandrum,Hire and running charges of bentonite pump,6229.0
2022,1,Trivandrum,Hire and running charges of vibrating pile driving hammer complete with power unit and accessories,51922.0
2022,1,Trivandrum,Hire and running charges of crane 20 tonne capacity,9000.0
2022,1,Trivandrum,Carriage of concrete by transit mixer,43.0
2022,1,Trivandrum,Generator 250 KVA,3800.0
2022,1,Trivandrum,Steam curing by using boiler /Heater,678.0
2022,1,Trivandrum,Stressing Machine (jack with pump),15400.0
2022,1,Trivandrum,Paint applicator,1112.0
2022,1,Trivandrum,Cutting saw machine,1850.0
2022,1,Trivandrum,Strands Roller machinery for laying strands,4750.0
2022,1,Trivandrum,Bed master (Pulling strands),4030.0
2022,1,Trivandrum,Mobile crane,9500.0
2022,1,Trivandrum,Tractor with ripper attachment,2004.0
2022,1,Trivandrum,Tractor with trolley,2225.0
2022,1,Trivandrum,Air compressor 250 cm with two leads for pneumatic cutters/hammers,2500.0
2022,1,Trivandrum,joint cutting machine with 2-3 blades,1483.0
2022,1,Trivandrum,C.C.batch mix plant,14835.0
2022,1,Trivandrum,Road Sweeper,817.0
2022,1,Trivandrum,Cost for crane upto 40 tonne capacity,10800.0
2022,1,Trivandrum,Slip form paver with sensor,19285.5
2022,1,Trivandrum,Water tanker 5000 Ltr. Capacity,1700.0
2022,1,Trivandrum,Concrete joint cutting machine,1333.0
2022,1,Trivandrum,Texturing machine,1370.0
2022,1,Trivandrum,Dozer D-80-A12,5638.0
2022,1,Trivandrum,Motor Grade 3.35 meter blade,3633.0
2022,1,Trivandrum,Hydraulic Excavator of 1 cum bucker,1500.0
2022,1,Trivandrum,Front end loader 1 cum bucket capacity (incl POL),1187.0
2022,1,Trivandrum,Tipper -5 cum,55.0
2022,1,Trivandrum,Vibratory roller 8 to 10 tonne,2225.0
2022,1,Trivandrum,Smooth Wheeled Roller 8 to 10 tonne,850.0
2022,1,Trivandrum,Tandem Road Roller,1703.0
2022,1,Trivandrum,Water Tanker 5 to 6 KL Capacity,220.0
2022,1,Trivandrum,Air Compressor,483.0
2022,1,Trivandrum,Wet Mix Plant 60 TPH,1779.0
2022,1,Trivandrum,Mechanical Broom Hydraulic,532.0
2022,1,Trivandrum,Emulsion Pressure Distributor @1750 sqm per hour,1187.0
